기간,자치구,동,전체세대수,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인세대이상
2021.3/4,도봉구,창1동,"10,986","4,011","2,722","2,111","1,734",319,71,13,5,0,0
2021.3/4,도봉구,창2동,"12,590","4,223","3,359","2,556","1,873",443,92,32,7,5,0
2021.3/4,도봉구,창3동,"6,541","2,639","1,750","1,124",784,196,29,16,3,0,0
2021.3/4,도봉구,창4동,"10,753","3,158","2,537","2,409","2,131",420,74,14,8,1,1
2021.3/4,도봉구,창5동,"10,232","3,145","2,623","2,188","1,805",362,80,22,4,3,0
2021.3/4,도봉구,도봉1동,"10,357","4,507","2,769","1,717","1,023",256,64,15,5,1,0
2021.3/4,도봉구,도봉2동,"11,914","4,229","3,149","2,367","1,654",388,94,27,3,3,0
2021.3/4,노원구,월계1동,"10,288","4,571","2,242","1,678","1,392",342,47,14,2,0,0
2021.3/4,노원구,월계2동,"12,003","4,326","3,245","2,264","1,707",373,68,16,1,2,1
2021.3/4,노원구,월계3동,"12,964","4,198","3,588","2,727","1,913",417,97,17,5,1,1
2021.3/4,노원구,공릉2동,"16,438","5,989","3,356","3,157","3,176",604,116,27,7,5,1
2021.3/4,노원구,하계1동,"11,529","4,344","2,459","2,088","2,120",411,78,19,7,1,2
2021.3/4,노원구,하계2동,"8,238","1,831","1,925","1,970","2,066",380,52,10,2,2,0
2021.3/4,노원구,중계본동,"8,433","1,888","1,436","1,875","2,562",553,97,17,4,1,0
2021.3/4,노원구,중계1동,"8,994","1,457","1,461","2,365","3,144",490,57,12,7,1,0
2021.3/4,노원구,중계4동,"8,378","2,763","2,030","1,619","1,543",340,61,14,5,2,1
2021.3/4,노원구,상계1동,"15,577","4,691","3,958","3,255","2,815",686,131,27,9,1,4
2021.3/4,노원구,상계2동,"8,665","3,321","1,764","1,644","1,545",292,80,15,3,1,0
2021.3/4,노원구,상계5동,"10,915","4,150","2,825","2,036","1,476",331,73,18,3,1,2
2021.3/4,노원구,상계8동,"9,265","2,522","2,488","2,215","1,700",287,39,8,2,2,2
2021.3/4,노원구,상계9동,"8,420","2,323","2,258","1,948","1,557",275,44,11,2,2,0
2021.3/4,노원구,상계10동,"7,652","2,090","2,128","1,722","1,428",219,47,16,1,1,0
2021.3/4,노원구,상계3.4동,"12,036","4,744","3,083","2,063","1,621",411,80,22,10,2,0
2021.3/4,노원구,상계6.7동,"13,904","4,523","3,528","2,858","2,481",416,71,19,6,0,2
2021.3/4,노원구,중계2.3동,"15,319","5,353","4,148","2,970","2,344",424,64,13,1,1,1
2021.3/4,노원구,공릉1동,"18,251","8,799","3,815","2,804","2,242",459,106,19,3,3,1
2021.3/4,은평구,녹번동,"17,527","7,388","4,424","3,031","2,111",454,92,23,4,0,0
2021.3/4,은평구,불광1동,"17,708","6,858","4,540","3,315","2,320",526,113,28,7,1,0
2021.3/4,은평구,갈현1동,"10,920","4,915","2,658","1,794","1,197",285,55,12,3,1,0
2021.3/4,은평구,갈현2동,"12,666","4,696","3,215","2,422","1,796",423,93,12,5,2,2
2021.3/4,은평구,구산동,"13,334","4,463","3,404","2,670","2,107",538,113,26,7,1,5
2021.3/4,은평구,대조동,"14,511","7,780","3,170","1,889","1,291",279,82,11,6,2,1
2021.3/4,은평구,응암1동,"14,825","5,891","3,591","2,609","2,123",487,91,15,5,5,8
2021.3/4,은평구,응암2동,"11,064","3,243","2,659","2,560","2,043",438,86,22,9,1,3
2021.3/4,은평구,신사1동,"11,897","4,162","3,092","2,402","1,733",391,92,18,4,3,0
2021.3/4,은평구,신사2동,"9,006","3,297","2,265","1,704","1,347",298,76,13,5,0,1
2021.3/4,은평구,증산동,"6,802","2,611","1,753","1,196",938,246,42,14,2,0,0
2021.3/4,은평구,수색동,"4,897","1,674","1,272",957,750,186,48,7,3,0,0
